,app名称,日期,星广任务id,星广任务名称,达人id,达人名称,服务商id,服务商名称,素材id,视频id,安卓基建计划数,ios基建计划数,素材横竖版,视频播放url,视频标题,视频发布时间,视频审核状态,视频状态,是否低效素材,当日安卓基建计划数,当日ios基建计划数,视频总数量,上新视频数量,累计素材消耗_不含当日,当日消耗,回旋视频url,是否本周新增达人
FALSE,"点点穿书,点点穿书-ios,点点穿书,点点穿书-ios,点点穿书_微信,点点穿书_抖音,点点穿书,点点穿书-ios,点点穿书_抖音,点点穿书,点点穿书_抖音",2026-04-10至2026-04-16,,,,,"	1781960925669515",重庆推小果,,,,,,,,,,,,19752,6809,4530,68,3214565.82,8242.32,,
FALSE,"点点穿书,点点穿书,点点穿书-ios,点点穿书,点点穿书-ios,点点穿书_抖音",2026-04-10至2026-04-16,,,,,"	1843680104294664",成都月象网络科技有限公司,,,,,,,,,,,,13695,4483,1273,120,830624.3,1.95,,
FALSE,"点点穿书,点点穿书-ios,点点穿书,点点穿书-ios,点点穿书_抖音",2026-04-10至2026-04-16,,,,,"	1846417874133515",上海盐木信息技术有限公司,,,,,,,,,,,,11829,4210,1733,71,1599444.9,9766.45,,
FALSE,"点点穿书,点点穿书-ios,点点穿书,点点穿书-ios,点点穿书_抖音,点点穿书,点点穿书_抖音",2026-04-10至2026-04-16,,,,,"	1837872018919178",聚云,,,,,,,,,,,,11334,4665,2441,69,33930.26,18.89,,
FALSE,"点点穿书,点点穿书,点点穿书-ios,点点穿书,点点穿书-ios,点点穿书_抖音",2026-04-10至2026-04-16,,,,,"	1833177401672010",合为文化,,,,,,,,,,,,9924,2903,1773,28,106937.73,2.97,,
FALSE,"点点穿书,点点穿书-ios,点点穿书_抖音",2026-04-10至2026-04-16,,,,,"	1840435762877706",白夜科技,,,,,,,,,,,,9012,5713,871,71,5695.69,0,,
FALSE,"点点穿书,点点穿书-ios,点点穿书,点点穿书-ios,点点穿书_抖音",2026-04-10至2026-04-16,,,,,"	1788781374123017",短笛科技,,,,,,,,,,,,8603,3453,2898,96,2714393.39,9433.36,,
FALSE,"点点穿书,点点穿书-ios,点点穿书,点点穿书-ios,点点穿书_抖音",2026-04-10至2026-04-16,,,,,"	1847391618455299",TIGE,,,,,,,,,,,,7444,6528,494,47,262429.85,93.39,,
FALSE,"点点穿书,点点穿书-ios,点点穿书,点点穿书-ios,点点穿书_抖音",2026-04-10至2026-04-16,,,,,"	1835233749101642",北京麦芽未来科技有限公司,,,,,,,,,,,,6679,3732,680,58,209383.72,2.9,,
FALSE,"点点穿书,点点穿书-ios,点点穿书,点点穿书-ios,点点穿书_抖音",2026-04-10至2026-04-16,,,,,"	1841756638893251",铂耀传媒,,,,,,,,,,,,6430,2159,1073,25,1172580.47,733.13,,
FALSE,"点点穿书,点点穿书-ios,点点穿书,点点穿书-ios,点点穿书_抖音",2026-04-10至2026-04-16,,,,,"	1825914970187850",上海持丹,,,,,,,,,,,,4331,1812,625,13,193444.61,232.67,,
