,app名称,日期,平台,达人名称,达人id,星广任务id,素材标签,书名称,素材md5,素材名称,素材id,素材url,ai素材分类,素材投放日期,素材上传日期,素材类型,消耗,投放激活数,ecpm,实际付费率,实际付费成本,付费收入占比,1日roi,3日roi,7日roi,14日roi,30日roi,累计30日roi,次留率,3日留存率,7日留存率,14日留存率,性别分布,年龄分布,男性用户占比,18以上用户占比,视频3秒播放率,点击率,投放激活成本,激活率,注册率,注册成本,关键行为率,关键行为成本,实际付费成本,实际付费率,素材消耗,含素材消耗,含素材1日roi,含素材3日roi,含素材7日roi,含素材14日roi,含素材30日roi
FALSE,点点穿书,20260410至20260416,头条,德福,,"	7582192822373023807","头条,星广,7582192822373023807,德福",总,e3b57282e88acf4e1f0548258f7320f9,"一起穿书末日副本#点点穿书 #穿书 #末世 #末世生存一百日","	7606348547069329423",https://douyin.com/video/7606348506228909668,真人类,2026-02-17,,竖版视频,22065.27,3718,29.93,14.98%,39.61,79.90%,47.20%,83.30%,85.76%,0%,0%,90.60%,27.61%,13.96%,3.77%,0%,"男:2973,女:601,未知:144","12岁以下:0,12-18岁:291,18-25岁:2186,25-40岁:1000,40岁以上:84,未知:157",79.96%,87.95%,77.78%,1.75%,5.93,25.22%,19.65%,34.42,14.04%,48.18,39.61,14.98%,,22065.27,47.20%,83.30%,85.76%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,德福,,"	7582192822373023807","头条,星广,7582192822373023807,德福",总,581184204c17f194053c76cbfd7e5511,"点点穿书，自己穿进书里当主角#点点穿书 #穿书 #末世 #末世生存一百日","	7606349030545555490",https://douyin.com/video/7606349011612383401,真人类,2026-02-19,,竖版视频,19233.31,3188,24.91,13.93%,43.32,74.33%,36.07%,65.67%,83.47%,0%,0%,60.29%,24.76%,13.89%,6.52%,0%,"男:2448,女:599,未知:141","12岁以下:0,12-18岁:235,18-25岁:1932,25-40岁:805,40岁以上:69,未知:147",76.79%,88.02%,79.74%,1.47%,6.03,23.72%,17.80%,40.24,13.04%,54.95,43.32,13.93%,,19233.31,36.07%,65.67%,83.47%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,猫头鹰爱遛狗,,"	7582192822373023807","头条,星广,7582192822373023807,猫头鹰爱遛狗",总,e766642db7d419f9de1952b2414858fe,"只剩下毁灭的本能 #点点穿书#每晚入睡后都被他们囚禁","	7602162173277077530",https://douyin.com/video/7602162060943822116,营销号类,2026-02-02,,竖版视频,11405.65,1476,12.21,15.45%,50.02,63.90%,26.11%,45.60%,51.03%,0%,0%,43.44%,26.59%,14.50%,6.16%,0%,"男:294,女:1094,未知:88","12岁以下:0,12-18岁:238,18-25岁:982,25-40岁:121,40岁以上:15,未知:120",19.92%,75.75%,66.52%,1.37%,7.73,8.54%,23.56%,44.21,19.45%,53.55,50.02,15.45%,,11405.65,26.11%,45.60%,51.03%,0%,0%
FALSE,点点穿书,20260410至20260416,"快手,百度",,,,"录屏,自营剧情,新visualnv,JB240513孟芫30051,头条,快手,百度,抖音,孟芫小组,HYYMYZMYZ,原始",总,26a3fd730a6a75c69fe0399b8f7a9c71,250821回三燃燃,"	5252041782504863044",http://toufang-public.huixuanjiasu.com/pl_video/26/26a3fd730a6a75c69fe0399b8f7a9c71.mp4,营销号类,2025-08-22,2025-08-21,竖版视频,8371.05,4492,6.13,1.78%,104.64,23.94%,21.01%,32.95%,30.43%,0%,0%,33.51%,18.52%,6.05%,2.09%,0%,"男:547,女:3783,未知:165","12岁以下:0,12-18岁:2519,18-25岁:1653,25-40岁:71,40岁以上:86,未知:166",12.18%,40.29%,0.00%,1.71%,1.86,10.61%,21.53%,15.68,7.14%,47.29,104.64,1.78%,,8371.05,21.01%,32.95%,30.43%,0%,0%
FALSE,点点穿书,20260410至20260416,"快手,百度",,,,"自营剧情、新dsh,HYYLQZLQZ,JB251117孟芫55693,广点通,优量汇过,小红书,快手,复刻素材,原始,新dsh,兼职剪辑,note0011,种子户过,内广过,录屏,百度,头条,燕艳,李强小组",总,e152bbd734ba8a2aaa81ea2545fbad7c,251126回三先玩先玩,9212429623,http://toufang-public.huixuanjiasu.com/pl_video/e1/e152bbd734ba8a2aaa81ea2545fbad7c.mp4,解说类,2025-12-30,2025-11-27,竖版视频,7765.92,1971,7.45,6.90%,57.1,45.81%,31.92%,48.36%,96.82%,0%,0%,51.72%,26.34%,11.12%,6.09%,0%,"男:525,女:1364,未知:84","12岁以下:0,12-18岁:863,18-25岁:958,25-40岁:37,40岁以上:15,未知:101",26.64%,51.24%,0.00%,1.35%,3.94,10.27%,36.67%,14.71,15.28%,35.3,57.1,6.90%,,7765.92,31.92%,48.36%,96.82%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,小果创意部,,"	7580203729057284132","头条,星广,7580203729057284132,小果创意部",总,ceb47de7f92536348319523c1843d150,"嘿嘿嘿，真带派#点点穿书 #多线剧情","	7606230763559567369",https://douyin.com/video/7606230847592091877,氛围混剪类,2026-02-16,,竖版视频,7763.23,1048,7.75,15.55%,47.63,64.20%,28.71%,42.51%,41.00%,0%,0%,42.49%,23.80%,11.03%,8.37%,0%,"男:165,女:820,未知:63","12岁以下:0,12-18岁:222,18-25岁:691,25-40岁:47,40岁以上:8,未知:80",15.74%,71.18%,52.71%,1.81%,7.41,4.74%,19.72%,45.94,18.09%,50.09,47.63,15.55%,,7763.23,28.71%,42.51%,41.00%,0%,0%
FALSE,点点穿书,20260410至20260416,"头条,百度",,,,"新visualnv,百度,聚星,自营剧情,oppo屏蔽,JB250815孟芫51411,录屏,广点通,头条,原始,李强小组,新dsh,HYYLQZLQZ,快手,vivo屏蔽",总,207ff32f8d7838ccf398bd85e1e438a3,260213回三在冲一百万,"	7606401320111734790",https://toufang-public.huixuanjiasu.com/pl_video/20/207ff32f8d7838ccf398bd85e1e438a3.mp4,声优类,2026-02-14,2026-02-13,竖版视频,6873.59,3058,12.36,3.96%,56.81,43.56%,24.90%,35.13%,43.74%,0%,0%,39.06%,17.81%,6.08%,4.82%,0%,"男:421,女:2420,未知:217","12岁以下:0,12-18岁:1445,18-25岁:1182,25-40岁:157,40岁以上:45,未知:229",13.77%,45.26%,15.61%,11.14%,2.25,1.77%,11.76%,53.28,16.86%,37.15,56.81,3.96%,,6873.59,24.90%,35.13%,43.74%,0%,0%
FALSE,点点穿书,20260410至20260416,"头条,广点通,快手,百度",,,,"头条,内广过,燕艳,HYYLQZLQZ,每周新片,兼职剪辑,快手,新visualnv,自动版位过,广点通,优量汇过,自营剧情、新csfpphxgzn,复刻素材,JB260126孟芫59437,百度,录屏,种子户过,李强小组,原始",总,3a66ccd0ab8ff12bd9dd13eed3bab96b,260216回三惡毒惡毒,"	7608626343164526655",https://toufang-public.huixuanjiasu.com/pl_video/3a/3a66ccd0ab8ff12bd9dd13eed3bab96b.mp4,营销号类,2026-02-20,2026-02-19,竖版视频,6835.53,3505,14.25,2.91%,67.02,35.91%,27.81%,44.20%,46.26%,0%,0%,46.61%,19.56%,9.00%,5.29%,0%,"男:440,女:2855,未知:211","12岁以下:0,12-18岁:1820,18-25岁:1339,25-40岁:80,40岁以上:57,未知:210",12.55%,42.11%,17.70%,13.97%,1.95,3.26%,5.54%,56.49,7.96%,39.28,67.02,2.91%,,6835.53,27.81%,44.20%,46.26%,0%,0%
FALSE,点点穿书,20260410至20260416,"头条,广点通,快手","九妹驾到,晴天0,桃桃酱!!,脆脆小鲨手,",,"7580203729057284132,7612944844417630227,7612952139236933674,7626969361030807588,",,总,,衍生素材,"	7629234718162796594",,,2024-03-05,,竖版视频,6292.38,1702,4.21,5.64%,65.55,36.20%,25.84%,41.59%,39.20%,0%,0%,45.09%,22.41%,9.54%,6.12%,0%,"男:266,女:1267,未知:144","12岁以下:0,12-18岁:638,18-25岁:810,25-40岁:38,40岁以上:24,未知:167",15.63%,51.23%,0.33%,1.43%,3.7,5.31%,30.47%,18.13,17.38%,31.78,65.55,5.64%,,6292.38,25.84%,41.59%,39.20%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,唯美年华音乐,,"	7617807228334227502","头条,星广,7617807228334227502,唯美年华音乐",总,7c5af0276d7e954c8e29f101154c25de,"一睁眼我成了自己门派里最菜的小徒弟 #点点穿书 #《以下犯上：误惹病娇徒儿白月光》","	7619914308173185058",https://douyin.com/video/7619914300740884657,真人类,2026-03-23,,竖版视频,6143.89,813,263.67,14.02%,53.89,69.39%,26.02%,51.24%,54.33%,0%,0%,48.98%,33.56%,17.70%,13.51%,0%,"男:166,女:623,未知:24","12岁以下:0,12-18岁:248,18-25岁:494,25-40岁:35,40岁以上:4,未知:32",20.42%,65.56%,1.64%,7.28%,7.56,41.90%,16.46%,52.51,10.41%,83.03,53.89,14.02%,,6143.89,26.02%,51.24%,54.33%,0%,0%
