app名称,日期,账户组,转化类型,冻结金额,实际消耗金额,当天消耗金额,总cpm,激励视频cpm,ecpm,报表今日曝光数,报表今日行为数,今日平均行为单价,激活数,激活成本,报表今日深度行为数,报表今日行为转化率,报表今日深度行为转化率,人均激励视频数,预估ltv,助推的预估roi,暗户id
点点穿书,20260423,,激活,1102100,4687,950.09,180.79,181.37,5.57,148544,1148,0.83,321,2.96,19,0.77%,1.66%,2.78,0.64,21.58%,
点点穿书,20260423,,关键行为,74200,1030,205.6,238.42,238.92,6.98,33267,205,1,62,3.32,8,0.62%,3.90%,2.6,0.91,27.37%,
点点穿书,20260422,,激活,1165000,5317,1039.76,108.38,109.5,5.16,201946,1014,1.03,282,3.69,16,0.50%,1.58%,4.7,0.79,21.47%,
点点穿书,20260422,,关键行为,74200,828,256.93,218.81,218.81,6.89,40809,304,0.85,68,3.78,7,0.74%,2.30%,2.4,1.16,30.81%,
点点穿书,20260421,,激活,1048000,4965,1404.24,174.32,183.32,5.5,268350,1442,0.97,377,3.72,27,0.54%,1.87%,3.09,0.94,25.13%,
点点穿书,20260421,,关键行为,7300,2192,104.18,93.78,93.83,6.69,14370,100,1.04,31,3.36,2,0.70%,2.00%,4.39,0.69,20.60%,
点点穿书,20260420,,激活,1288600,6509,1731.67,108.92,109.8,5.07,302294,1803,0.96,466,3.72,28,0.60%,1.55%,3.78,0.68,18.33%,
点点穿书,20260420,,关键行为,7300,2088,131.08,131.12,177.95,6.8,17787,141,0.93,48,2.73,4,0.79%,2.84%,2.67,0.67,24.71%,
点点穿书,20260419,,激活,1227100,8493,4400.91,147.42,148.21,5.13,803266,7411,0.59,2241,1.96,114,0.92%,1.54%,3.05,0.77,39.28%,
点点穿书,20260419,,关键行为,7200,1957,384.77,200.71,201.8,6.77,49074,394,0.98,128,3.01,13,0.80%,3.30%,5.49,1.32,43.88%,
点点穿书,20260418,,激活,1099700,5861,3001.17,128.94,130.82,4.57,545172,4452,0.67,1468,2.04,68,0.82%,1.53%,3.38,0.6,29.18%,
点点穿书,20260418,,关键行为,7200,1573,178.93,104.7,105.32,6.4,23784,180,0.99,81,2.21,5,0.76%,2.78%,4.01,0.92,41.68%,
点点穿书,20260417,,激活,1038700,2904,1196.39,117.16,115.33,4.44,217818,1830,0.65,471,2.54,21,0.84%,1.15%,3.94,0.72,28.44%,
点点穿书,20260417,,关键行为,4200,1393,108.19,90.97,90.98,6.36,14077,87,1.24,37,2.92,4,0.62%,4.60%,4.84,0.89,30.56%,
